,precision,recall,f1-score,support
appeal_to_emotion,0.9090909090909091,0.8695652173913043,0.8888888888888888,23.0
belittling_ridicule,0.9139784946236559,0.9659090909090909,0.9392265193370166,88.0
benign_affection,1.0,1.0,1.0,11.0
benign_venting,0.9375,0.8823529411764706,0.9090909090909091,17.0
coercive_control,1.0,1.0,1.0,156.0
deflection,0.8181818181818182,0.8571428571428571,0.8372093023255814,21.0
ethical_persuasion,0.9629629629629629,1.0,0.9811320754716981,104.0
gaslighting,1.0,0.911504424778761,0.9537037037037037,113.0
guilt_tripping,0.9361702127659575,0.9361702127659575,0.9361702127659575,47.0
healthy_conflict,0.9375,0.7894736842105263,0.8571428571428571,19.0
love_bombing,0.8415841584158416,0.9444444444444444,0.8900523560209425,90.0
neutral_conversation,1.0,1.0,1.0,16.0
neutral_logistics,1.0,1.0,1.0,110.0
passive_aggression,0.8333333333333334,0.78125,0.8064516129032258,32.0
stonewalling,0.8695652173913043,1.0,0.9302325581395349,20.0
threatening_intimidation,0.6956521739130435,0.6153846153846154,0.6530612244897959,52.0
urgent_emergency,1.0,0.9791666666666666,0.9894736842105263,48.0
whataboutism,0.9655172413793104,0.9655172413793104,0.9655172413793104,29.0
accuracy,0.9377510040160643,0.9377510040160643,0.9377510040160643,0.9377510040160643
macro avg,0.9233909178921187,0.9165489664583336,0.9187418414372193,996.0
weighted avg,0.9381462079129875,0.9377510040160643,0.9369417900963126,996.0
