"ID","text","Ever_Gaslit","Gender","Age","condition"
2143,"The supervisor insulted me and said I am a terrible person. My supervisor says that I am lazy and that I have to change my self. ","No","Female",18,"train"
2146,"The new seasonal drink is revealed, so the supervisor teaches and shows the student worker how to make the drink. The supervisor congratulates the student worker on a great job and lets them continue their work. A couple of weeks later, the supervisor comes by and sees the student worker making the seasonal drink. The student worker is making the drink exactly how the supervisor showed them, but the supervisor blows up on the student worker. The supervisor tells the student worker that they are incompetent at their job and that they are incorrectly making the drink. The supervisor makes the drink the exact same way, but insists that the student worker did it incorrectly. The student worker is left thinking that they are incompetent and wonders if they were making the seasonal drink incorrectly in the first place.","No","Female",21,"train"
2163,"The supervisor constantly talks down to the student about his ability to do the work. He is making him feel bad about the things that he accomplishes at work. When someone gets the wrong coffee order the supervisor makes him feel stupid for messing up. The student constantly wonders if he will be good at his job.","No","Female",21,"train"
2171,"Paul works at saxby's on campus. He likes the work, but his manager Ron has been a problem. Most recently, Paul suspects Ron has been emptying the tip jar some when Paul goes to break. When Paul worked up the courage to confront his boss, His boss claimed Paul must be misremembering the visual filledness of the jar. The manager has even gone as far as to show Paul edited security footage as proof.","No","Male",23,"train"
2174,"The students go to work but the supervisor is always telling them that they do things wrong and they are not good enough. The students feel confused and it makes their days sad. ","No","Female",20,"train"
2176,"The supervisor would gaslight the student worker by telling them that they don't work as much during the week. They would be told that they barely work any hours during the week and should start picking up their shifts more often. The supervisor would make the student think that they are being paid more than enough than what they actually are. ","No","Female",20,"train"
2181,"My boss keeps gaslighting me after I make my customers' drinks. He tells me every day that I made at least one drink incorrectly and that the customer complained about it. I have been super careful recently to make sure I double check that I made the drink correctly and even when I am basically positive I made the drink correctly, my boss keeps lecturing  and complaining about my mistakes. I even have my coworkers check that I am doing everything correctly while making the drink, but my boss continues to chastise me and make me constantly question myself in an outside of work.","No","Female",21,"train"
2184,"Student is peacefully working and manager approaches. The manager begins to question and make eye contact with worker. The worker get s anxious and starts to think if they are doing something wrong. The student is being gaslighted.","No","Male",22,"train"
2206,"Student worker sees a shadowy figure standing outside the coffee shop and alerts the supervisor. Supervisor says there is no one there despite the fact that there is someone standing there. Student worker continues to see a shadowy figure and the manager keeps saying there is no one there. The next day, the student worker see the shadowy figure again, but dismisses it as paranoia. The shadowy figure comes closer, making it difficult to ignore, and the student worker questions their sanity as supervisor maintains that there is no one there. ","No","Female",19,"train"
2216,"The student worker shows up for their first shift at the coffee shop. The supervisor pulls the worker aside and suggests the worker come back for the next shift ""prepared."" During the interview, the student was told ""everything you need will be provided the first shift."" The student worker apologizes to the supervisor, even though the supervisor did not inform the student worker what prepared was for their first shift. The student worker then changes to begin their first shift. The supervisor insists the student worker must wear a hat while working in the coffee shot, but did not provide one. The supervisor then sends the student worker home and insists they come back more better prepare for their next shift. ","No","Female",18,"train"
2222,"The student worker, Sally, got to work early to start opening the coffee shop and did everything she was supposed to. She brewed fresh coffee, washed extra dishes, prepared all necessary tools. Then her boss came in for his shift and made a mess of everything she had done that morning. When she tries to politely confront him, he denies it. He goes on to gaslight her by saying that she didn't clean well in the first place and she didn't prep the coffee correctly which caused him to have to 'fix it.' Overall, he blames her and gaslights her by attempting to convince her  and confuse her into thinking that she made most of the errors and he basically did nothing.","No","Female",18,"train"
2232,"Bess went to get coffee at the campus coffee shop, her friend James works there. As soon as she goes inside, she was shocked to see the supervisor talking down to James with a loud voice. ""We don't have all day for you to say one word. Learn how to speak"", James crowed a bit as the supervisor left. Bess comes up to him with a very concerned look, ""He can't say those things about your stutter all the time!"" James shook his head and sighs, ""I'm mostly use to his gaslighting...""","No","Female",19,"train"
2254,"a supervisor who criticizes you for reporting a coworker who made offensive comments","No","Female",20,"train"
2286,"Today, at the coffee shop, I was extremely anxious about how good of a job I was doing, partially because of my supervisor. Whenever I made a coffee for someone, with sugar for example, my supervisor would call me over a little while later and tell me that next time I really need to pay attention to how much sugar I put into the coffee because I completely ruined that person's drink, and that it could cost me my job. I was sure that I put exactly how much sugar into their drink as was asked of me by the customer, but hearing my supervisor say this made me rethink the scenario and I started to think that perhaps I did ruin their drink and put too much sugar in. A little while later my supervisor brought it up again, as if to imply that I wasn't listening the first time and that I needed to hear it again to retain it, which further made me question the quality of the drinks I was giving out.","No","Male",18,"train"
2306,"supervisor convinces student that they can't do anything correctly, and they are always wrong. telling student that could be making drinks wrong and making people sick","No","Female",20,"train"
2354,"The student worker brings up something that the supervisor did and knows they did but manipulates the worker into thinking it never happened. ","No","Female",22,"train"
2380,"The supervisor may say that the student worker doesnt try hard enough at their job. For instance, they may watch a sale, and if the student worker isnt polite enough or friendly enough in their opinion they will call the student worker out on it. But in reality, the student worker is trying his or her best and is just slightly shy and thinks they are doing the best they can.","No","Female",21,"train"
2381,"The coffee worker realizes there is no more almond milk in the fridge when they arrive in the morning for work. In the evening they tell their supervisor. The supervisor tells the student they are wrong repeatedly. The student says, ""No, there was no milk in the fridge this morning I checked."" The supervisor lies at says there was, and that the student must've used it all. The student begins doubting themselves even though they know they checked the fridge and didn't see any.","No","Female",18,"train"
2427,"The supervisor of Starbucks often criticizes the student worker and tells her that she is making the drinks wrong and treating customers poorly. This makes the student worker doubt herself and overthink, even though she is kind and always makes the drinks correctly. This self-doubt causes the worker to overthink to the point where she quits the job. The supervisor succeeded in manipulating the worker and making them feel badly about themselves. ","No","Female",18,"train"
2443,"The student worker was a very handsome and polite gentleman. He makes the best coffee. People started to praise his coffee making skills and the ladies were so in awe of him. The supervisor was jealous of him and looking for a way to fire him. The next day, the supervisor called him to his office to say that he can't no longer work here. When the student worker asked for the reason, he made up that a customer complained about his coffee. And the supervisor also said, ""you make the worst coffee"", So, the student worker finally realized that he made up a story to fire him and was jealous of him.","No","Female",18,"train"
2448,"The supervisor was gaslighting the student.","No","Female",18,"train"
2450,"Anne, the student worker, asked Mary, the supervisor, for a day of 2 months in advance for her sister's wedding. Mary told Anne that it would be fine and that she could have the day off. When the schedule came out for the week of Anne's sister's wedding she noticed that she was on the schedule to work the day of the wedding. Anne asked Mary why she was on to work when she had said that she could have the day off. Mary replied with ""I said you could request off, not that you could have off. Your request was denied."" Anne said ""But you said that It would be no problem and I could have the day off."" Mary said ""I never said that, now you either come into work, or you're fired."" Anne then was left feeling confused because she believed that Mary had told her she could have the day off. This would be a situation where Mary was gaslighting Anne into believing that she never told her that she could have the day off. ","No","Female",18,"train"
2453,"The supervisor is working in the back of the shop, occasionally coming up to the front to judge people etc. the student worker is doing relatively well in their job, they are perfectly adequate. The supervisor makes a mistake, they drop a large coffee pot and it smashes on the floor. The supervisor immediately turns their attention to the student worker, who is suprised to hear the supervisor yelling at them. The supervisor is twisting the occurance to make the student worker believe they made a mistake","No","Male",18,"train"
2481,"The manager tells the worker tome a certain drink. After the drink is made for the customer the manager tells the employee that the drink she made was incorrect. The worker tells the manager that she was told it was a cotton candy frap in which she made. The manager tells her that she must've heard wrong because she didn't say that. The employee starts to second guess her self and apologizes. The employee finally decides to watch the cameras back to see what the manager really said and it turns out she did say cotton candy frap.  ","No","Female",20,"train"
2523,"Last Wednesday, young Jacob was scheduled to work the morning shift. During the shift Jacob did an excellent job and provided quality customer service. His manager was at work as well. Usually, the manager stays until closing but due to circumstance he needed to leave. Young Jacob does not like staying at work longer than his scheduled shift. Jacob's manager brings him up to speed about his circumstances and asks Jacob to stay until closing. Jacob hesitates for a little but then his manager blurts out ""remember how you told me you wanted more hours? Well, I made my decision based off of you telling me that last week Jacob. I did this for you."" This statement disarmed Jacob and left him without a valid rebuttal. Jacob did say he wanted to work mor hours, but to him this meant a fixed morning schedule. Jacob was not prepared to work till close. The manager had previously been made aware of this, but due to his circumstances decided to gaslight Jacon into staying until close.","No","Male",22,"train"
2524,"I work at a coffee shop on campus and supervisor constantly gaslights. My supervisor always talks badly about me behind my back and my coworkers tell me what he says. When I confront him about it, he tells me I'm crazy for believing what they say and victimizes himself.","No","Female",18,"train"
2527,"I am a worker who keeps getting gaslighted by my boss. When he sees me making drinks, he thinks I am not doing it correctly when I really am. When a customer asks me if I can add more sugar to their coffee, my boss started gaslighting me saying that I mess up everybodys drinks and never listen to the correct amount im supposed to use. My boss gaslighting me ruins my day.","No","Female",18,"train"
