ID,text,Ever_Gaslit,Gender,Age
814,"Trying to convince someone to feel like it is their fault they are feeling negative emotions or that it happened because of them, but only in ways to emotionally manipulate. ",No,Female,19
2130,gaslighting is when someone tries to make you believe something you know as something else try to sound like a better person for it,No,Female,NA
2143,to me it means to manipulate someone and to make them doubt their self,No,Female,18
2145,Gaslighting is when someone becomes manipulated by someone like a partner and starts to believe whatever is being communicated by the manipulator.,No,Male,24
2146,Gaslighting is when others have made a person believe that he or she is lying or is going crazy. Gaslighting is a form of manipulation where others can distort a person's sense of self and sense of reality. It is more than just lying.,No,Female,21
2151,When you make someone question their own reality.,No,Female,18
2154,I think gaslighting is forcing someone or persuading someone to believe that they are in the wrong or don't belong. ,No,Female,21
2163,Making someone feel like they did something wrong and manipulating them to feel bad about themself.,No,Female,21
2171,"Attempting to convince another involved party that some situation, past or present, is not being understood correctly or is being misremembered, typically attempting to manipulate the other party.",No,Male,23
2174,Gaslighting refers to a person who manipulates another person's mind.,No,Female,20
2176,Gaslighting is like manipulating someone,No,Female,20
2181,making someone question their own reality and make them lose confidence in their perception of reality through emotional and logical manipulation,No,Female,21
2184,Someone who tends to question what they believe is right or wrong,No,Male,22
2185,Gaslighting is when you are invalidating what a person is saying or their situation by making it appear worse or more extreme,No,Female,21
2199,"Gaslighting is when someone lies, downplays, or twists information around and claims that ""it's always been this way"" or that they're ""too sensitive"".",No,,18
2201,Gaslighting is when you are being taken advantage of.,No,Female,19
2202,Making someone feel as if something that is true (objectively or subjectively [ex: feelings]) is not true,No,Female,20
2205,Gaslighting is a form of psychological manipulation that usually occurs when a person projects false information to make the victim doubt their perception of reality. ,No,Female,24
2206,The dismissal of valid concerns with accusations of hysteria or paranoia to the point where the victim questions their own sanity or reality.,No,Female,19
2208,gaslighting is when you openly trick the other person into thinking they are at fault,No,Female,19
2216,"When one is entirely wrong, and knows of wrong doings but will not admit to their fault. Instead will redirect and flip the script. ",No,Female,18
2219,making someone think they are in the wrong to make yourself feel like you did nothing wrong. ,No,Female,21
2220,"A form of manipulation that convinces the victim that they don't what they are talking about, causing them to second guess their reality.",No,Female,20
2222,Manipulating someone by purposely saying things to make someone angry or confused about past events. ,No,Female,18
2230,It is a way of getting someone to question their thoughts and feelings to satisfy your perspective. Often to justify a perve or abusive action. ,No,Female,19
2232,I think gaslighting means when a person calls out someone constantly in a negative way and doesn't care about the other person's feelings. Like all they do is put the person down and constantly talk about their flaws.,No,Female,19
2235,"Gaslighting is when someone attempts to convince another individual that something is true when they know it is not, typically for their own benefit. This, as a result, often makes the individual feel as though they are going crazy. ",No,Female,18
2237,Manipulating someone through either emotional or psychological abuse by doubting or denying certain events for personal protection or gain. This causes the gaslit person to doubt their own memory and events. ,No,Male,18
2243,Gaslighting is when someone knows something that is true and they do something to harm you with the information that tey know. ,No,Female,20
2244,putting combustible gases to increase the combustion.,No,Male,19
2254,psychologically trick (someone) into doubting their own sanity.,No,Female,20
2261,Gaslighting is when someone manipulates another person into believing that they cannot trust their own memory or judgement. Victims of gaslighting can end up questioning their own sanity.,No,Female,18
2267,to manipulate someone and make them feel lower valued and wothless than others. Make them doubt about themselves and their memories.,No,Female,19
2268,gaslight is when someone is trying to put self doubt to others,No,Female,19
2272,Questioning about your own sanity ,No,Female,18
2282,"manipulating someone and making them doubt themselves. (ex: someone saying ""no one will believe you"")",No,Female,18
2286,"Gaslighting occurs when someone attempts to undermine your experiences or to cause doubts to form about yourself, often via convincing someone that their feelings are invalid.",No,Male,18
2302,manipulation to the point where you're questioning yourself,No,Female,18
2306,gaslighting-lying or manipulating someone to get the result you desire ,No,Female,20
2318,making someone question their own sanity ,No,Female,20
2323,Gaslighting is not real,No,Female,18
2330,Purposely tricking people or manipulating them into questioning themselves.,No,Female,19
2334,To manipulate another person to doubt things about themselves.,No,Male,19
2339,"Gaslighting happens when someone tries to convince another person that they are wrong about a thing, person, or situation, when it reality they are entirely correct. It is a form of manipulation.",No,Female,18
2342,manipulation,No,Female,18
2347,Gaslighting is when someone tries to manipulate you into thinking you are wrong or they try to make you think you are crazy. ,No,Female,18
2354,When someone lies or makes you feel bad about something. ,No,Female,22
2359,Gaslighting is intentionally manipulating someone to question their own decisions and motive in an effort to deflect blame/guilt,No,Female,18
2367,Gaslighting is a form of emotional abuse within close relationships. The abuser lie or make up things that didn't actually happen (gaslight) to brainwash the victim into thinking that they are the problem not the abuser. One of the most interesting and sad characteristics is that the victim often doesn't realize they are being gaslighted since it happens slowly and not being able to tell by other people unlike physical abuse. It takes attention of themselves or close people to find out. ,No,Female,20
2380,When someone makes you feel crazy for thoughts you have ,No,Female,21
2381,Pretending/persuading something isn't true,No,Female,18
2394,lying and doing it over and over again until someone believes it. ,No,Male,18
2396,I think it means slander.,No,Male,18
2427,Gaslighting is when someone tries to manipulate you into thinking that you are doing something bad or wrong. ,No,Female,18
2443,Gaslighting is blaming someone for everything and making them less worthy of themselves.,No,Female,18
2448,Gaslighting means gas that produces light.,No,Female,18
2450,Gaslighting is making someone feel like they're crazy.,No,Female,18
2451,the act of lying to someone in order to convince them that their perception of the world is false.,No,Female,18
2453,Manipulating someone by telling making them think they are crazy and not thinking right,No,Male,18
2467,"a type of physological manipulation which often leads emotional abuse. when someone makes you question your perception, or reality or makes you think that you are craxzy.",No,Female,18
